secs, cad, hr, km, kph, nm,distance, alt,lat,lon, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
,,,,,,3.2934,35.8,48.436195,-123.34141,,1.05054,,,,,,,,,,,
,,,,,,3.30019,35.9,48.436196,-123.341502,,1.09268,,,,,,,,,,,
,,,,,,3.34328,36.8,48.436202,-123.342086,,1.2134,,,,,,,,,,,
,,,,,,3.34965,37,48.436182,-123.342167,,1.52707,,,,,,,,,,,
,,,,,,3.36281,37,48.436084,-123.342267,,1.31741,,,,,,,,,,,
,,,,,,3.3837,36.7,48.435897,-123.342293,,0.987649,,,,,,,,,,,
,,,,,,3.39081,36.6,48.435833,-123.342291,,0.689237,,,,,,,,,,,
,,,,,,3.44487,35.7,48.435347,-123.342306,,0.522731,,,,,,,,,,,
,,,,,,3.47593,35.3,48.435068,-123.342328,,0.241973,,,,,,,,,,,
,,,,,,3.48124,35.3,48.435022,-123.342309,,0.0904479,,,,,,,,,,,
,,,,,,3.4834,35.3,48.435019,-123.34228,,0.0904479,,,,,,,,,,,
,,,,,,3.49037,35.3,48.435078,-123.342248,,-0.0568709,,,,,,,,,,,
,,,,,,3.4986,35.4,48.435152,-123.342248,,-0.144214,,,,,,,,,,,
,,,,,,3.51384,35.6,48.435289,-123.342251,,-0.326616,,,,,,,,,,,
,,,,,,3.54431,36,48.435563,-123.342256,,-0.195338,,,,,,,,,,,
,,,,,,3.59324,36.8,48.436003,-123.342243,,0.11181,,,,,,,,,,,
,,,,,,3.59916,36.9,48.436056,-123.342251,,0.421137,,,,,,,,,,,
,,,,,,3.60957,37.2,48.436134,-123.342329,,0.87587,,,,,,,,,,,
,,,,,,3.62757,37.7,48.436188,-123.342559,,1.28243,,,,,,,,,,,
,,,,,,3.63414,37.8,48.436197,-123.342647,,1.43466,,,,,,,,,,,
,,,,,,3.66348,38.1,48.436212,-123.343044,,1.53693,,,,,,,,,,,
,,,,,,3.70819,38.3,48.436219,-123.34365,,1.58166,,,,,,,,,,,
,,,,,,3.76818,39,48.436229,-123.344463,,1.57682,,,,,,,,,,,
,,,,,,3.7884,39.3,48.436222,-123.344737,,1.59385,,,,,,,,,,,
,,,,,,3.79331,39.3,48.436206,-123.344799,,1.46257,,,,,,,,,,,
,,,,,,3.81146,39.3,48.436067,-123.344928,,1.29909,,,,,,,,,,,
,,,,,,3.83438,39.1,48.435863,-123.344972,,1.04297,,,,,,,,,,,
,,,,,,3.84329,39,48.435783,-123.344978,,0.642469,,,,,,,,,,,
,,,,,,3.90455,38.3,48.435232,-123.344977,,0.250422,,,,,,,,,,,
,,,,,,3.91379,38.2,48.435149,-123.34498,,-0.0101369,,,,,,,,,,,
,,,,,,3.95593,37.8,48.43477,-123.344978,,-0.207318,,,,,,,,,,,
