,distance
1100,13412.2
1101,13425.1
1102,13437.7
1103,13450.2
1104,13462.5
1105,13474.8
1106,13487.0
1107,13499.3
1108,13511.6
1109,13524.1
1110,13536.7
1111,13549.3
1112,13561.8
1113,13574.3
1114,13586.8
1115,13599.1
1116,13611.2
1117,13623.4
1118,13635.7
1119,13648.0
1120,13660.2
1121,13672.3
1122,13684.2
1123,13695.8
1124,13707.0
1125,13718.3
1126,13729.9
1127,13741.5
1128,13753.1
1129,13764.9
1130,13776.6
1131,13788.4
1132,13800.2
1133,13812.4
1134,13824.9
1135,13837.4
1136,13849.9
1137,13862.4
1138,13874.6
1139,13886.8
1140,13899.2
1141,13911.6
1142,13923.7
1143,13935.9
1144,13947.6
1145,13958.9
1146,13970.2
1147,13981.4
1148,13992.9
1149,14004.4
1150,14015.8
1151,14027.5
1152,14039.3
1153,14051.2
1154,14062.9
1155,14074.3
1156,14085.8
1157,14097.0
1158,14108.4
1159,14119.9
1160,14131.4
1161,14142.8
1162,14153.8
1163,14164.6
1164,14175.3
1165,14186.4
1166,14197.7
1167,14209.0
1168,14220.4
1169,14231.8
1170,14243.1
1171,14254.4
1172,14265.7
1173,14276.9
1174,14288.2
1175,14299.9
1176,14312.0
1177,14324.7
1178,14337.5
1179,14350.6
1180,14363.8
1181,14376.9
1182,14389.9
1183,14403.0
1184,14416.3
1185,14429.8
1186,14443.4
1187,14457.0
1188,14470.3
1189,14483.3
1190,14496.4
1191,14509.5
1192,14522.5
1193,14535.7
1194,14549.0
1195,14562.3
1196,14575.9
1197,14589.3
1198,14602.8
1199,14616.1
1200,14629.2
1201,14642.0
1202,14654.2
1203,14665.3
1204,14675.7
1205,14686.2
1206,14697.3
1207,14709.0
1208,14721.1
1209,14733.4
1210,14746.1
1211,14758.8
1212,14771.3
1213,14783.7
1214,14795.8
1215,14807.6
1216,14819.3
1217,14830.8
1218,14842.3
1219,14853.8
1220,14865.4
1221,14877.1
1222,14888.7
1223,14900.7
1224,14912.8
1225,14925.1
1226,14937.6
1227,14950.1
1228,14962.3
1229,14974.3
1230,14985.9
1231,14997.4
1232,15008.4
1233,15019.4
1234,15030.3
1235,15041.0
1236,15051.6
1237,15062.2
1238,15072.9
1239,15083.7
1240,15094.5
1241,15105.3
1242,15116.2
1243,15127.1
1244,15138.1
1245,15149.4
1246,15160.7
1247,15172.2
1248,15183.6
1249,15194.6
1250,15205.3
1251,15216.3
1252,15227.3
1253,15238.4
1254,15249.8
1255,15261.6
1256,15273.3
1257,15284.8
1258,15296.2
1259,15308.2
1260,15320.5
1261,15333.1
1262,15346.0
1263,15359.7
1264,15373.2
1265,15386.8
1266,15400.4
1267,15413.9
1268,15427.6
1269,15441.6
1270,15455.9
1271,15470.5
1272,15485.4
1273,15500.4
1274,15515.6
1275,15530.8
1276,15546.0
1277,15561.2
1278,15575.9
1279,15590.5
1280,15605.0
1281,15619.3
1282,15633.3
1283,15647.5
1284,15661.2
1285,15674.9
1286,15688.4
1287,15701.6
1288,15714.7
1289,15728.0
1290,15741.6
1291,15755.7
1292,15770.0
1293,15784.2
1294,15798.4
1295,15812.5
1296,15826.3
1297,15839.9
1298,15853.3
1299,15866.8
1300,15880.2
1301,15893.4
1302,15906.5
1303,15919.9
1304,15933.5
1305,15947.1
1306,15960.2
1307,15973.4
1308,15986.2
1309,15998.8
1310,16011.2
1311,16023.4
1312,16035.3
1313,16047.1
1314,16058.9
1315,16071.0
1316,16083.1
1317,16095.1
1318,16107.0
1319,16118.9
1320,16130.4
1321,16142.0
1322,16153.8
1323,16165.7
1324,16177.7
1325,16189.6
1326,16201.7
1327,16213.5
1328,16225.3
1329,16237.5
1330,16249.7
1331,16262.0
1332,16274.0
1333,16285.6
1334,16296.8
1335,16307.1
1336,16316.5
1337,16325.2
1338,16333.9
1339,16342.7
1340,16352.6
1341,16363.4
1342,16374.4
1343,16386.1
1344,16398.0
1345,16410.4
1346,16422.7
1347,16435.0
1348,16446.9
1349,16458.7
1350,16470.6
1351,16482.0
1352,16493.4
1353,16505.4
1354,16517.7
1355,16530.3
1356,16542.9
1357,16555.7
1358,16568.3
1359,16581.0
1360,16593.5
1361,16606.2
1362,16618.7
1363,16630.9
1364,16642.9
1365,16655.3
1366,16667.8
1367,16680.8
1368,16694.2
1369,16707.6
1370,16721.1
1371,16734.9
1372,16748.6
1373,16762.4
1374,16776.3
1375,16790.1
1376,16804.0
1377,16817.8
1378,16831.5
1379,16845.1
1380,16858.7
1381,16872.2
1382,16885.7
1383,16898.9
1384,16911.9
1385,16925.0
1386,16938.2
1387,16951.8
1388,16965.4
1389,16978.9
1390,16992.5
1391,17006.0
1392,17019.4
1393,17032.9
1394,17046.5
1395,17059.9
1396,17073.3
1397,17086.3
1398,17098.9
1399,17111.2
1400,17123.7
1401,17136.0
1402,17148.5
1403,17161.3
1404,17173.7
1405,17186.1
1406,17198.4
1407,17211.2
1408,17224.3
1409,17237.1
1410,17249.9
1411,17262.4
1412,17274.5
1413,17286.4
1414,17297.9
1415,17308.9
1416,17319.2
1417,17328.2
1418,17336.4
1419,17344.7
1420,17353.9
1421,17364.0
1422,17374.7
1423,17386.3
1424,17397.9
1425,17409.8
1426,17421.7
1427,17433.8
1428,17445.6
1429,17457.1
1430,17468.5
1431,17480.4
1432,17492.3
1433,17504.4
1434,17516.7
1435,17529.0
1436,17541.5
1437,17553.7
1438,17566.1
1439,17578.7
1440,17591.2
1441,17603.3
1442,17615.8
1443,17628.4
1444,17640.9
1445,17653.3
1446,17665.8
1447,17678.6
1448,17691.6
1449,17704.6
1450,17717.4
1451,17729.9
1452,17742.0
1453,17753.9
1454,17765.4
1455,17777.3
1456,17789.1
1457,17800.6
1458,17812.3
1459,17823.8
1460,17835.1
1461,17846.2
1462,17857.2
1463,17868.2
1464,17879.0
1465,17890.2
1466,17901.2
1467,17912.4
1468,17923.6
1469,17934.8
1470,17946.0
1471,17957.5
1472,17968.9
1473,17980.6
1474,17992.5
1475,18004.3
1476,18016.3
1477,18028.3
1478,18040.4
1479,18052.6
1480,18064.7
1481,18076.9
1482,18089.0
1483,18101.2
1484,18113.3
1485,18125.2
1486,18137.1
1487,18149.0
1488,18160.7
1489,18172.6
1490,18184.7
1491,18196.8
1492,18209.1
1493,18221.4
1494,18233.7
1495,18245.9
1496,18258.1
1497,18270.5
1498,18282.9
1499,18295.2
1500,18307.5
1501,18319.9
1502,18332.1
1503,18343.8
1504,18355.7
1505,18367.8
1506,18379.9
1507,18392.1
1508,18404.3
1509,18416.8
1510,18428.7
1511,18440.7
1512,18452.4
1513,18464.1
1514,18476.1
1515,18488.2
1516,18500.3
1517,18512.2
1518,18523.8
1519,18535.3
1520,18547.1
1521,18559.0
1522,18571.2
1523,18583.3
1524,18595.6
1525,18607.9
1526,18620.2
1527,18632.6
1528,18645.2
1529,18658.1
1530,18670.8
1531,18683.6
1532,18696.0
1533,18707.9
1534,18719.7
1535,18731.9
1536,18744.0
1537,18755.9
1538,18767.7
1539,18779.4
1540,18791.0
1541,18802.3
1542,18813.1
1543,18824.1
1544,18835.0
1545,18845.7
1546,18856.2
1547,18866.4
1548,18876.4
1549,18886.2
1550,18895.9
1551,18906.0
1552,18916.2
1553,18926.5
1554,18937.6
1555,18948.9
1556,18960.4
1557,18972.0
1558,18983.7
1559,18995.6
1560,19007.6
1561,19019.7
1562,19032.0
1563,19044.4
1564,19056.9
1565,19069.5
1566,19082.3
1567,19095.1
1568,19108.1
1569,19121.0
1570,19133.9
1571,19146.6
1572,19159.3
1573,19172.0
1574,19184.7
1575,19197.3
1576,19210.0
1577,19222.5
1578,19235.0
1579,19247.5
1580,19260.0
1581,19272.5
1582,19285.0
1583,19297.5
1584,19310.1
1585,19322.5
1586,19334.6
1587,19346.6
1588,19358.6
1589,19370.3
1590,19381.7
1591,19392.8
1592,19403.4
1593,19413.7
1594,19424.2
1595,19435.3
1596,19446.8
1597,19458.7
1598,19470.7
1599,19483.1
1600,19495.5
1601,19508.0
1602,19520.8
1603,19533.6
1604,19546.6
1605,19559.5
1606,19572.4
1607,19585.2
1608,19598.2
1609,19610.9
1610,19623.4
1611,19635.9
1612,19648.5
1613,19661.7
1614,19674.8
1615,19687.8
1616,19700.6
1617,19713.6
1618,19726.2
1619,19739.0
1620,19751.8
1621,19764.3
1622,19776.8
1623,19789.1
1624,19801.1
1625,19812.7
1626,19824.3
1627,19836.0
1628,19847.9
1629,19859.6
1630,19871.2
1631,19882.8
1632,19894.0
1633,19905.1
1634,19916.2
1635,19927.1
1636,19938.0
1637,19948.7
1638,19959.1
1639,19969.6
1640,19980.0
1641,19990.3
1642,20000.7
1643,20010.8
1644,20020.5
1645,20030.4
1646,20040.3
1647,20050.5
1648,20061.4
1649,20072.7
1650,20084.2
1651,20096.4
1652,20108.6
1653,20121.2
1654,20133.7
1655,20146.5
1656,20159.5
1657,20172.8
1658,20186.4
1659,20200.2
1660,20214.0
1661,20227.8
1662,20241.6
1663,20255.5
1664,20269.6
1665,20284.2
1666,20298.9
1667,20313.2
1668,20327.4
1669,20341.7
1670,20355.9
1671,20370.1
1672,20384.3
1673,20398.5
1674,20412.5
1675,20426.3
1676,20440.7
1677,20454.8
1678,20468.7
1679,20482.8
1680,20497.3
1681,20511.4
1682,20525.6
1683,20539.5
1684,20553.6
1685,20567.5
1686,20581.3
1687,20595.0
1688,20608.7
